"team_api_id","team_long_name","buildUpPlaySpeed","buildUpPlayDribbling","buildUpPlayPassing","BuildUpPlay","ChanceCreation","Defense","No_Of_Goals"
1601,"Ruch Chorzów",53,48,55,156,205,175,280
1773,"Oud-Heverlee Leuven",52,51,50,153,157,137,126
1957,"Jagiellonia Białystok",66,54,69,189,165,210,287
2033,"S.C. Olhanense",65,62,55,182,178,155,138
2182,"Lech Poznań",67,55,57,179,208,181,372
2183,"P. Warszawa",34,0,47,81,210,177,184
2186,"Cracovia",57,50,59,166,210,205,235
4087,"Évian Thonon Gaillard FC",61,51,65,177,182,168,180
4170,"US Boulogne Cote D'Opale",50,0,37,87,177,200,31
6269,"Novara",66,57,62,185,181,173,34
6351,"KAS Eupen",50,0,55,105,160,155,28
6391,"GFC Ajaccio",61,53,52,166,179,146,37
6403,"FC Paços de Ferreira",63,40,50,153,184,168,292
6413,"PEC Zwolle",57,41,56,154,165,181,204
6421,"Leixões SC",30,0,30,60,165,90,55
6433,"Go Ahead Eagles",58,47,64,169,132,141,74
6493,"AC Bellinzona",47,0,54,101,175,151,128
6547,"FC Penafiel",54,54,39,147,146,121,29
6631,"FC Dordrecht",39,33,62,134,176,164,24
7730,"FC Lausanne-Sports",51,55,60,166,172,170,99
7788,"SC Cambuur",45,39,57,141,159,138,119
7794,"SC Bastia",67,61,52,180,162,210,165
7819,"SM Caen",65,50,52,167,180,205,220
7841,"Rio Ave FC",66,47,50,163,190,161,248
7842,"Estoril Praia",66,56,52,174,139,150,167
7844,"Vitória Guimarães",65,52,47,164,191,182,300
7869,"Córdoba CF",53,53,53,159,186,133,22
7878,"Granada CF",57,62,59,178,203,171,179
7943,"Sassuolo",57,71,60,188,193,154,141
7955,"Neuchâtel Xamax",60,0,50,110,190,150,171
8019,"Górnik Łęczna",41,40,59,140,139,149,61
8020,"Polonia Bytom",46,0,50,96,150,185,245
8021,"Zagłębie Lubin",55,49,60,164,203,210,207
8023,"Pogoń Szczecin",67,48,54,169,185,180,152
8024,"Widzew Łódź",66,52,72,190,192,160,122
8025,"Śląsk Wrocław",65,55,63,183,188,181,318
8027,"Zawisza Bydgoszcz",54,51,40,145,168,143,75
8028,"Piast Gliwice",64,52,67,183,200,195,204
8030,"Lechia Gdańsk",63,48,52,163,201,205,279
8031,"Polonia Bytom",46,0,50,96,150,185,88
8033,"Podbeskidzie Bielsko-Biała",72,55,66,193,166,152,169
8066,"Inverness Caledonian Thistle",61,49,67,177,192,155,345
8121,"Angers SCO",65,61,50,176,182,151,40
8152,"FC St. Pauli",60,52,64,176,208,189,35
8165,"1. FC Nürnberg",46,62,50,158,198,163,193
8177,"Hertha BSC Berlin",68,52,55,175,197,172,238
8178,"Bayer 04 Leverkusen",73,30,55,158,217,212,483
8191,"Burnley",70,32,74,176,212,205,70
8194,"Fortuna Düsseldorf",72,69,69,210,193,180,39
8197,"Leicester City",70,41,70,181,209,210,114
8203,"KV Mechelen",67,42,60,169,155,190,285
8226,"TSG 1899 Hoffenheim",75,49,63,187,202,203,400
8234,"FC Ingolstadt 04",55,59,54,168,159,145,33
8242,"Odra Wodzisław",30,0,45,75,155,205,50
8244,"Widzew Łódź",66,52,72,190,192,160,50
8245,"Korona Kielce",75,69,66,210,187,195,237
8262,"SV Darmstadt 98",59,43,77,179,174,129,38
8277,"Vitesse",57,55,50,162,193,184,423
8284,"Dundee FC",50,47,49,146,164,156,127
8295,"Karlsruher SC",70,55,55,180,206,176,30
8302,"Sevilla FC",68,53,65,186,208,198,478
8305,"Getafe CF",54,42,45,141,182,170,345
8306,"UD Las Palmas",54,55,56,165,198,176,45
8315,"Athletic Club de Bilbao",70,46,69,185,192,187,415
8322,"Arka Gdynia",46,0,45,91,177,205,77
8342,"Club Brugge KV",67,52,54,173,182,200,421
8344,"Cardiff City",67,41,70,178,210,210,32
8348,"Moreirense FC",38,58,43,139,144,138,101
8350,"1. FC Kaiserslautern",66,54,55,175,194,210,72
8357,"SpVgg Greuther Fürth",68,60,53,181,196,181,26
8358,"SC Freiburg",59,58,61,178,192,171,245
8370,"Rayo Vallecano",53,52,55,160,170,183,247
8371,"CA Osasuna",55,53,54,162,193,182,232
8372,"SD Eibar",62,51,52,165,179,142,83
8388,"CD Numancia",71,48,53,172,166,167,38
8394,"Real Zaragoza",52,52,50,154,179,158,159
8398,"FC Energie Cottbus",64,47,55,166,194,206,30
8406,"FC Augsburg",68,51,69,188,196,176,201
8426,"Partick Thistle F.C.",48,50,47,145,162,145,135
8429,"Hamilton Academical FC",70,48,70,188,214,195,185
8455,"Chelsea",70,52,60,182,210,172,583
8456,"Manchester City",70,35,60,165,215,184,606
8457,"Dunfermline Athletic",55,0,60,115,168,148,40
8460,"SC Paderborn 07",73,46,62,181,172,149,31
8462,"Portsmouth",70,32,70,172,196,167,72
8464,"N.E.C.",49,42,59,150,190,152,310
8466,"Southampton",70,41,55,166,205,210,216
8467,"St. Johnstone FC",70,52,58,180,154,170,308
8472,"Sunderland",67,43,70,180,214,182,333
8475,"Waasland-Beveren",62,45,53,160,146,114,105
8479,"RC Recreativo",50,53,58,161,169,161,34
8481,"AS Nancy-Lorraine",65,48,49,162,197,210,203
8483,"Blackpool",70,44,72,186,205,210,55
8485,"Aberdeen",70,64,70,204,212,200,365
8521,"Stade Brestois 29",65,48,62,175,181,210,99
8524,"Atalanta",65,45,50,160,173,186,283
8525,"Willem II",72,36,63,171,188,168,222
8526,"De Graafschap",37,0,41,78,157,147,130
8528,"Wigan Athletic",70,37,70,177,197,197,200
8529,"Cagliari",67,51,53,171,203,190,309
8530,"Catania",75,52,50,177,195,156,251
8533,"Chievo Verona",66,54,67,187,184,181,285
8534,"Empoli",66,43,54,163,196,178,86
8535,"Fiorentina",67,54,51,172,188,184,440
8537,"Livorno",65,58,67,190,194,174,66
8540,"Palermo",66,66,50,182,195,163,351
8543,"Lazio",68,69,55,192,220,195,417
8548,"Rangers",65,53,55,173,219,200,324
8549,"Middlesbrough",70,32,72,174,212,176,28
8550,"FC Metz",65,48,65,178,180,165,31
8551,"Siena",50,49,50,149,186,165,149
8558,"RCD Espanyol",68,52,55,175,212,188,338
8559,"Bolton Wanderers",57,37,73,167,198,176,181
8560,"Real Sociedad",60,52,50,162,190,172,316
8564,"Milan",65,70,54,189,201,175,496
8569,"GKS Bełchatów",52,48,67,167,195,200,190
8571,"KV Kortrijk",50,40,65,155,171,185,267
8573,"KV Oostende",52,49,54,155,140,133,102
8576,"AC Ajaccio",65,57,52,174,185,168,116
8581,"Levante UD",68,51,65,184,202,155,241
8583,"AJ Auxerre",64,55,70,189,166,155,168
8586,"Tottenham Hotspur",70,46,55,171,210,184,481
8588,"RC Lens",65,52,50,167,195,200,107
8592,"Olympique de Marseille",65,77,50,192,227,200,462
8593,"Ajax",40,43,39,122,202,197,647
8596,"Falkirk",70,0,70,140,200,200,68
8597,"Kilmarnock",70,50,70,190,205,200,346
8600,"Udinese",78,71,63,212,217,165,415
8602,"Wolverhampton Wanderers",70,36,70,176,213,210,118
8603,"Real Betis Balompié",59,49,51,159,206,165,225
8611,"FC Twente",55,40,55,150,196,197,509
8613,"Boavista FC",47,56,50,153,128,148,51
8614,"Sparta Rotterdam",35,0,40,75,140,90,76
8633,"Real Madrid CF",55,57,46,158,204,196,843
8634,"FC Barcelona",43,35,51,129,184,205,849
8635,"RSC Anderlecht",52,46,52,150,197,190,427
8636,"Inter",67,69,67,203,207,173,496
8639,"LOSC Lille",70,65,65,200,212,184,450
8640,"PSV",67,43,45,155,202,183,652
8649,"Ross County FC",45,50,62,157,157,143,192
8650,"Liverpool",71,60,60,191,193,181,531
8654,"West Ham United",77,39,73,189,197,165,326
8655,"Blackburn Rovers",60,60,70,190,188,177,175
8658,"Birmingham City",70,39,79,188,218,210,75
8659,"West Bromwich Albion",65,34,65,164,200,210,305
8661,"RCD Mallorca",62,53,57,172,165,163,238
8667,"Hull City",65,40,60,165,196,210,144
8668,"Everton",61,45,65,171,193,185,439
8673,"Legia Warszawa",69,51,55,175,176,202,409
8674,"FC Groningen",55,42,55,152,193,149,390
8678,"Bournemouth",70,44,70,184,200,210,45
8682,"Le Mans FC",70,0,50,120,198,200,79
8686,"Roma",70,48,55,173,222,182,530
8689,"FC Lorient",60,56,70,186,197,200,378
8690,"Reggio Calabria",55,55,56,166,201,142,30
8696,"Racing Santander",53,52,56,161,210,174,160
8697,"SV Werder Bremen",70,55,63,188,216,208,423
8721,"VfL Wolfsburg",68,67,59,194,211,192,463
8722,"1. FC Köln",60,53,71,184,183,183,226
9746,"Le Havre AC",55,56,52,163,184,183,30
9747,"En Avant de Guingamp",63,58,58,179,179,163,122
9748,"Olympique Lyonnais",65,60,52,177,204,200,497
9761,"NAC Breda",58,49,59,166,155,145,294
9764,"Gil Vicente FC",68,67,41,176,152,149,110
9768,"Sporting CP",57,65,56,178,204,174,411
9771,"União de Leiria, SAD",50,0,50,100,152,159,85
9772,"SL Benfica",70,55,54,179,200,179,568
9773,"FC Porto",70,50,53,173,200,186,541
9776,"Eintracht Braunschweig",68,60,62,190,195,157,29
9777,"Servette FC",48,0,55,103,183,170,77
9783,"RC Deportivo de La Coruña",56,55,47,158,194,164,241
9788,"Borussia Mönchengladbach",76,53,64,193,201,178,403
9789,"Borussia Dortmund",76,37,61,174,199,189,551
9790,"Hamburger SV",70,61,60,191,213,188,344
9791,"Heracles Almelo",69,55,61,185,191,173,403
9798,"Reading",70,36,72,178,214,200,43
9800,"St. Mirren",70,53,75,198,210,200,257
9803,"Roda JC Kerkrade",65,46,52,163,182,160,343
9804,"Torino",76,69,64,209,206,146,241
9807,"CF Os Belenenses",52,53,52,157,160,135,148
9809,"Naval 1° de Maio",50,0,65,115,165,121,71
9810,"Eintracht Frankfurt",63,48,43,154,192,172,296
9817,"Watford",70,43,70,183,205,206,40
9823,"FC Bayern Munich",65,34,41,140,207,196,653
9824,"FC Vaduz",53,32,56,141,137,133,100
9825,"Arsenal",75,51,40,166,161,173,573
9826,"Crystal Palace",70,45,70,185,205,185,119
9827,"Girondins de Bordeaux",70,49,48,167,205,197,404
9829,"AS Monaco",65,68,55,188,171,205,287
9830,"FC Nantes",63,70,56,189,174,156,135
9831,"OGC Nice",70,61,70,201,191,210,342
9836,"Dijon FCO",65,54,50,169,170,163,38
9837,"Stade de Reims",61,58,50,169,175,140,168
9839,"VVV-Venlo",50,0,52,102,174,159,152
9847,"Paris Saint-Germain",50,70,65,185,195,210,568
9850,"Norwich City",70,38,70,178,212,200,160
9851,"Stade Rennais FC",65,62,45,172,200,210,367
9853,"AS Saint-Étienne",65,55,65,185,185,164,371
9855,"Grenoble Foot 38",70,0,70,140,195,195,55
9857,"Bologna",65,53,55,173,184,159,263
9858,"Brescia",42,56,50,148,194,159,34
9860,"Heart of Midlothian",70,51,70,191,210,200,317
9864,"Málaga CF",60,51,55,166,211,183,377
9865,"UD Almería",65,41,70,176,181,205,202
9867,"CD Tenerife",56,50,57,163,185,176,40
9868,"Xerez Club Deportivo",60,0,58,118,183,170,38
9869,"Real Sporting de Gijón",70,48,55,173,199,195,200
9873,"Valenciennes FC",65,59,70,194,188,169,256
9874,"FC Sochaux-Montbéliard",66,62,70,198,185,185,246
9875,"Napoli",72,74,52,198,218,184,514
9876,"Hellas Verona",63,46,63,172,173,169,145
9878,"Pescara",65,52,65,182,194,155,27
9879,"Fulham",60,34,70,164,199,146,265
9880,"Cesena",73,31,50,154,171,162,98
9882,"Sampdoria",60,56,65,181,195,175,318
9885,"Juventus",65,47,50,162,222,203,543
9888,"Lecce",50,0,50,100,180,170,121
9891,"Frosinone",70,48,48,166,166,193,35
9904,"Hannover 96",78,55,70,203,182,210,359
9905,"1. FSV Mainz 05",68,54,57,179,199,180,320
9906,"Atlético Madrid",64,52,54,170,218,173,524
9908,"FC Utrecht",66,50,54,170,196,159,408
9910,"RC Celta de Vigo",55,59,62,176,197,178,184
9911,"VfL Bochum",69,54,65,188,186,185,72
9912,"DSC Arminia Bielefeld",62,49,65,176,178,149,29
9925,"Celtic",70,52,70,192,205,200,695
9927,"Motherwell",70,47,70,187,205,200,403
9930,"FC Aarau",60,48,56,164,189,159,153
9931,"FC Basel",61,63,46,170,186,180,619
9938,"Dundee United",70,58,70,198,207,200,438
9941,"Toulouse FC",65,56,70,191,187,141,339
9956,"Grasshopper Club Zürich",67,60,54,181,188,165,429
9976,"Bari",65,40,65,170,193,167,76
9984,"KSV Cercle Brugge",68,49,54,171,203,195,213
9985,"Standard de Liège",75,45,70,190,186,206,341
9986,"Sporting Charleroi",60,47,53,160,158,210,201
9987,"KRC Genk",66,52,55,173,196,205,348
9989,"Lierse SK",69,44,65,178,169,160,113
9991,"KAA Gent",70,55,65,190,194,172,390
9993,"Beerschot AC",55,0,55,110,185,210,174
9994,"Sporting Lokeren",67,45,60,172,163,200,279
9996,"Royal Excel Mouscron",50,50,50,150,150,140,42
9997,"Sint-Truidense VV",53,0,55,108,160,150,115
9998,"RAEC Mons",55,50,55,160,168,138,129
9999,"KSV Roeselare",65,0,60,125,125,205,62
10000,"SV Zulte-Waregem",65,42,60,167,165,200,306
10001,"KVC Westerlo",52,46,60,158,181,210,217
10003,"Swansea City",66,44,70,180,210,210,233
10167,"Parma",50,71,35,156,204,190,272
10172,"Queens Park Rangers",70,39,70,179,210,210,115
10179,"FC Sion",61,57,60,178,187,146,371
10189,"FC Schalke 04",65,54,57,176,204,207,426
10190,"FC St. Gallen",52,46,60,158,158,157,276
10191,"FC Thun",58,59,39,156,179,145,279
10192,"BSC Young Boys",60,56,69,185,203,171,529
10194,"Stoke City",75,41,80,196,197,171,322
10199,"FC Luzern",63,51,60,174,199,161,421
10205,"Villarreal CF",64,42,41,147,182,186,364
10211,"SC Beira Mar",48,0,48,96,165,163,93
10212,"CS Marítimo",67,49,66,182,208,148,316
10214,"CD Nacional",65,59,43,167,172,161,332
10215,"Académica de Coimbra",53,53,50,156,175,162,240
10217,"ADO Den Haag",58,47,66,171,188,184,366
10218,"Excelsior",73,41,69,183,174,112,154
10219,"RKC Waalwijk",57,30,55,142,181,150,153
10228,"SC Heerenveen",67,48,56,171,200,183,470
10229,"AZ",62,46,58,166,207,190,492
10233,"Genoa",70,52,68,190,202,172,392
10235,"Feyenoord",54,40,60,154,177,161,489
10238,"Vitória Setúbal",58,49,50,157,180,150,238
10242,"ES Troyes AC",49,48,51,148,151,142,71
10243,"FC Zürich",62,49,60,171,175,169,468
10249,"Montpellier Hérault SC",54,58,65,177,175,210,344
10251,"Hibernian",70,49,70,189,200,200,259
10252,"Aston Villa",70,37,72,179,191,178,335
10260,"Manchester United",70,42,54,166,207,172,582
10261,"Newcastle United",70,45,72,187,195,172,324
10264,"SC Braga",66,35,55,156,187,150,398
10265,"Wisła Kraków",67,52,48,167,197,205,332
10267,"Valencia CF",41,46,40,127,186,175,484
10268,"Elche CF",55,52,73,180,177,159,65
10269,"VfB Stuttgart",70,61,53,184,200,181,415
10278,"Hércules Club de Fútbol",54,47,55,156,188,166,36
10281,"Real Valladolid",55,44,65,164,193,176,170
108893,"AC Arles-Avignon",56,48,65,169,141,159,21
158085,"FC Arouca",69,66,39,174,160,113,101
208931,"Carpi",80,46,65,191,164,152,37
274581,"Royal Excel Mouscron",50,50,50,150,150,140,71
